"Year","Plot","JunJulStCp","n_mon"
2011,"G1.27",0.53483258771825,2
2011,"G1.28",0.730448866912695,2
2011,"GG2",0.428940763316894,2
2012,"G1.17",1.59603505116253,2
2012,"G1.18",0.775569245998329,2
2012,"G1.26",0.845937873687836,2
2012,"G1.27",0.737000964702469,2
2012,"G1.28",1.13234191715109,2
2012,"GG2",0.576954727589795,2
2013,"G1.17",1.96202867447538,2
2013,"G1.18",1.66700959195761,2
2013,"G1.26",1.47716301735345,2
2013,"G1.27",1.16153267218609,2
2013,"G1.28",1.14187120177531,2
2013,"GG2",0.740209846311842,2
2014,"G1.17",0.969222053026154,2
2014,"G1.18",0.890638039763824,2
2014,"G1.26",1.33344065335601,2
2014,"G1.27",0.752844264728267,2
2014,"G1.28",0.774523794547094,2
2014,"GG2",0.887899341915208,2
2015,"G1.17",1.04176524187575,2
2015,"G1.18",1.03150529031311,2
2015,"G1.26",0.898920971726914,2
2015,"G1.27",0.78408552856645,2
2015,"G1.28",0.971845261451216,2
2015,"GG2",0.750000014665722,2
2016,"G1.17",1.32889011702514,2
2016,"G1.18",1.00378870747951,2
2016,"G1.26",1.10011536742683,2
2016,"G1.27",0.899282099811114,2
2016,"G1.28",1.42600649411553,2
2016,"GG2",0.843281074362054,2
2017,"G1.17",1.20526518420423,2
2017,"G1.18",1.27935223922718,2
2017,"G1.26",1.73781621242789,2
2017,"G1.27",1.11343144854702,2
2017,"G1.28",1.49856465643426,2
2017,"GG2",1.08551367662897,2
2018,"G1.17",1.70770529384842,2
2018,"G1.18",1.34414088973028,2
2018,"G1.26",1.08006821581794,2
2018,"G1.27",1.04825397989881,2
2018,"G1.28",1.54296209134916,2
2018,"GG2",1.25336855708061,2
2019,"G1.17",1.85722388892187,2
2019,"G1.18",1.11544532990625,2
2019,"G1.26",1.31637501199712,2
2019,"G1.27",1.00041339560408,2
2019,"G1.28",1.57997698444331,2
2019,"GG2",0.965097272847385,2
2020,"G1.17",1.3063333496368,2
2020,"G1.18",1.11755271042446,2
2020,"G1.26",1.32542176543854,2
2020,"G1.27",1.18582840402299,2
2020,"G1.28",1.83896958491965,2
2020,"GG2",1.13492330160024,2
2021,"G1.17",0.868265681728121,2
2021,"G1.18",1.03515607638733,2
2021,"G1.26",1.25877746091016,2
2021,"G1.27",1.46469952535756,2
2021,"G1.28",1.85876761352153,2
2021,"GG2",1.14989043335988,2
2022,"G1.17",0.839162880161516,2
2022,"G1.18",0.982280244297925,2
2022,"G1.26",1.31548273503278,2
2022,"G1.27",1.13416462112339,2
2022,"G1.28",1.31957370873526,2
2022,"GG2",1.07127428312809,2
2023,"G1.17",1.50004951734368,2
2023,"G1.18",0.872950434867372,2
2023,"G1.26",1.3131072322737,2
2023,"G1.27",1.49843058726332,2
2023,"G1.28",2.07110172415259,2
2023,"GG2",0.713705252988262,1
